LIST,SIZE,SPEC
10GKA41-BR001-HC21-DN25,25,GKA
10GKA41-BR002-HC21-DN25,25,GKA
10GKA41-BR003-HC21-DN25,25,GKA
10GKA41-BR004-HC21-DN25,25,GKA
10QCD41-BR021-HC21-DN25,25,QCD
10QCD41-BR022-HC21-DN25,25,QCD
10QCD41-BR023-HC21-DN25,25,QCD
10QCD41-BR191-HC21-DN25,25,QCD
10QCD41-BR192-HC21-DN25,25,QCD
10QCD41-BR193-HC21-DN25,25,QCD
11GHD42-BR001-HB4N-DN25,25,GHD
11GHD42-BR002-HB4N-DN25,25,GHD
11GHD42-BR003-HB4N-DN25,25,GHD
11GHD42-BR004-HB4N-DN25,25,GHD
11GKA41-BR001-HC21-DN25,25,GKA
11GKA41-BR004-HC21-DN25,25,GKA
11HAC10-BR401-CB2B-DN25,25,HAC
11HAC10-BR402-CB2B-DN25,25,HAC
11HAC10-BR403-CB2B-DN25,25,HAC
11HAC10-BR404-CB2B-DN25,25,HAC
11HAC10-BR405-CB2B-DN25,25,HAC
11HAC10-BR406-CB2B-DN25,25,HAC
11HAC10-BR407-CB2B-DN25,25,HAC
11HAC10-BR409-CB2B-DN25,25,HAC
11HAC10-BR410-CB2B-DN25,25,HAC
11HAC10-BR411-CB2B-DN25,25,HAC
